Entry Date,Exit Date,Direction,Entry Price,Exit Price,Points,P&L (Rs),Cumulative P&L (Rs),Equity (Rs),Trade Return %
2017-04-19,2017-06-05,SHORT,351.12,371.84,-20.72,-1036.05,-1036.05,198963.95,-0.518025
2017-06-05,2017-07-10,LONG,371.84,371.18,-0.66,-32.97,-1069.02,198930.98,-0.016485
2017-07-10,2017-07-19,SHORT,371.18,380.03,-8.84,-442.14,-1511.1599999999999,198488.84,-0.22107
2017-07-19,2017-08-30,LONG,380.03,359.39,-20.63,-1031.65,-2542.81,197457.19,-0.5158250000000001
2017-08-30,2017-10-25,SHORT,359.39,362.75,-3.35,-167.74,-2710.55,197289.45,-0.08387
2017-10-25,2018-04-18,LONG,362.75,442.79,80.04,4001.93,1291.3799999999997,201291.38,2.000965
2018-04-18,2018-05-07,SHORT,442.79,465.22,-22.44,-1121.77,169.60999999999967,200169.61,-0.5608850000000001
2018-05-07,2018-10-22,LONG,465.22,547.9,82.68,4133.78,4303.389999999999,204303.39,2.06689
2018-10-22,2018-12-20,SHORT,547.9,543.35,4.54,227.07,4530.459999999999,204530.46,0.113535
2018-12-20,2019-03-19,LONG,543.35,591.55,48.2,2409.9,6940.359999999999,206940.36,1.2049500000000002
2019-03-19,2019-04-15,SHORT,591.55,595.85,-4.3,-215.0,6725.359999999999,206725.36,-0.1075
2019-04-15,2019-05-13,LONG,595.85,589.46,-6.39,-319.42,6405.939999999999,206405.94,-0.15971000000000002
2019-05-13,2019-06-18,SHORT,589.46,623.08,-33.62,-1680.95,4724.989999999999,204724.99,-0.8404750000000001
2019-06-18,2019-10-16,LONG,623.08,640.78,17.69,884.59,5609.579999999999,205609.58,0.442295
2019-10-16,2019-12-19,SHORT,640.78,614.69,26.08,1304.08,6913.659999999999,206913.66,0.65204
2019-12-19,2020-03-12,LONG,614.69,530.88,-83.81,-4190.61,2723.0499999999993,202723.05,-2.0953049999999998
2020-03-12,2020-05-12,SHORT,530.88,578.36,-47.48,-2373.91,349.1399999999994,200349.14,-1.186955
2020-05-12,2021-02-25,LONG,578.36,1098.25,519.89,25994.35,26343.489999999998,226343.49,12.997175
2021-02-25,2021-03-15,SHORT,1098.25,1183.6,-85.35,-4267.44,22076.05,222076.05,-2.13372
2021-03-15,2021-05-12,LONG,1183.6,1143.44,-40.15,-2007.7,20068.35,220068.35,-1.0038500000000001
2021-05-12,2021-06-08,SHORT,1143.44,1230.64,-87.2,-4359.94,15708.41,215708.41,-2.17997
2021-06-08,2022-02-08,LONG,1230.64,1508.98,278.34,13916.82,29625.23,229625.23,6.95841
2022-02-08,2022-03-23,SHORT,1508.98,1645.26,-136.29,-6814.25,22810.98,222810.98,-3.4071249999999997
2022-03-23,2022-04-26,LONG,1645.26,1389.21,-256.05,-12802.55,10008.43,210008.43,-6.401274999999999
2022-04-26,2022-07-19,SHORT,1389.21,1317.92,71.29,3564.51,13572.94,213572.94,1.782255
2022-07-19,2022-09-14,LONG,1317.92,1310.15,-7.77,-388.49,13184.45,213184.45,-0.194245
2022-09-14,2022-10-31,SHORT,1310.15,1380.35,-70.2,-3510.0,9674.45,209674.45,-1.755
2022-10-31,2022-12-30,LONG,1380.35,1353.91,-26.44,-1321.88,8352.57,208352.57,-0.6609400000000001
2022-12-30,2023-02-09,SHORT,1353.91,1451.58,-97.67,-4883.5,3469.0699999999997,203469.07,-2.4417500000000003
2023-02-09,2023-03-14,LONG,1451.58,1274.74,-176.85,-8842.36,-5373.290000000001,194626.71,-4.4211800000000006
2023-03-14,2023-06-14,SHORT,1274.74,1183.06,91.67,4583.73,-789.5600000000013,199210.44,2.291865
2023-06-14,2023-10-26,LONG,1183.06,1252.79,69.73,3486.51,2696.949999999999,202696.95,1.7432550000000002
2023-10-26,2023-12-05,SHORT,1252.79,1339.88,-87.09,-4354.3,-1657.3500000000013,198342.65,-2.17715
2023-12-05,2024-03-19,LONG,1339.88,1438.94,99.07,4953.29,3295.9399999999987,203295.94,2.476645
2024-03-19,2024-06-10,SHORT,1438.94,1409.74,29.21,1460.33,4756.269999999999,204756.27,0.730165
2024-06-10,2024-10-25,LONG,1409.74,1750.29,340.56,17027.76,21784.03,221784.03,8.513879999999999
2024-10-25,2024-12-06,SHORT,1750.29,1827.6,-77.3,-3865.14,17918.89,217918.89,-1.9325699999999997
2024-12-06,2024-12-31,LONG,1827.6,1787.29,-40.31,-2015.45,15903.439999999999,215903.44,-1.007725
