Entry Date,Exit Date,Direction,Entry Price,Exit Price,Points,P&L ($),Cumulative P&L ($),Equity ($),Trade Return %
2021-03-25,2021-06-28,SHORT,10.56,10.49,0.07,3.5,3.5,200003.5,0.0017499999999999998
2021-06-28,2021-07-29,LONG,10.49,9.91,-0.58,-29.0,-25.5,199974.5,-0.0145
2021-07-29,2021-09-21,SHORT,9.91,10.05,-0.14,-7.0,-32.5,199967.5,-0.0034999999999999996
2021-09-21,2021-10-06,LONG,10.05,7.25,-2.8,-140.0,-172.5,199827.5,-0.06999999999999999
2021-10-06,2021-11-01,SHORT,7.25,15.66,-8.41,-420.5,-593.0,199407.0,-0.21025000000000002
2021-11-01,2021-12-29,LONG,15.66,17.7,2.04,102.0,-491.0,199509.0,0.051000000000000004
2021-12-29,2022-03-02,SHORT,17.7,14.66,3.04,152.0,-339.0,199661.0,0.076
2022-03-02,2022-03-29,LONG,14.66,12.39,-2.27,-113.5,-452.5,199547.5,-0.056749999999999995
2022-03-29,2022-08-08,SHORT,12.39,6.13,6.26,313.0,-139.5,199860.5,0.1565
2022-08-08,2022-09-22,LONG,6.13,4.97,-1.16,-58.0,-197.5,199802.5,-0.029
2022-09-22,2022-11-14,SHORT,4.97,5.99,-1.02,-51.0,-248.5,199751.5,-0.025500000000000002
2022-11-14,2022-11-30,LONG,5.99,5.16,-0.83,-41.5,-290.0,199710.0,-0.02075
2022-11-30,2023-02-02,SHORT,5.16,5.49,-0.33,-16.5,-306.5,199693.5,-0.00825
2023-02-02,2023-10-04,LONG,5.49,14.77,9.28,464.0,157.5,200157.5,0.232
2023-10-04,2023-12-12,SHORT,14.77,12.76,2.01,100.5,258.0,200258.0,0.05025
2023-12-12,2024-01-18,LONG,12.76,10.72,-2.04,-102.0,156.0,200156.0,-0.051000000000000004
2024-01-18,2024-05-22,SHORT,10.72,8.6,2.12,106.0,262.0,200262.0,0.053
2024-05-22,2024-06-05,LONG,8.6,7.93,-0.67,-33.5,228.5,200228.5,-0.01675
2024-06-05,2024-07-29,SHORT,7.93,7.89,0.04,2.0,230.5,200230.5,0.001
2024-07-29,2024-08-14,LONG,7.89,7.31,-0.58,-29.0,201.5,200201.5,-0.0145
2024-08-14,2024-09-27,SHORT,7.31,9.71,-2.4,-120.0,81.5,200081.5,-0.06
2024-09-27,2024-12-31,LONG,9.71,41.77,32.06,1603.0,1684.5,201684.5,0.8015
