Entry Date,Exit Date,Direction,Entry Price,Exit Price,Points,P&L ($),Cumulative P&L ($),Equity ($),Trade Return %
2018-04-10,2018-04-27,SHORT,85.44,88.15,-2.7,-135.23,-135.23,199864.77,-0.067615
2018-04-27,2018-10-25,LONG,88.15,100.45,12.3,614.89,479.65999999999997,200479.66,0.30744499999999997
2018-10-25,2019-02-05,SHORT,100.45,99.88,0.57,28.6,508.26,200508.26,0.0143
2019-02-05,2019-08-26,LONG,99.88,127.6,27.73,1386.38,1894.64,201894.64,0.6931900000000001
2019-08-26,2019-09-17,SHORT,127.6,129.43,-1.83,-91.38,1803.2600000000002,201803.26,-0.04569
2019-09-17,2019-09-18,LONG,129.43,130.5,1.06,53.23,1856.4900000000002,201856.49,0.026615
2019-09-18,2019-09-19,SHORT,130.5,132.9,-2.4,-120.11,1736.3800000000003,201736.38,-0.060055000000000004
2019-09-19,2020-03-13,LONG,132.9,150.55,17.65,882.52,2618.9000000000005,202618.9,0.44126
2020-03-13,2020-04-23,SHORT,150.55,162.48,-11.93,-596.67,2022.2300000000005,202022.23,-0.29833499999999996
2020-04-23,2020-09-29,LONG,162.48,197.48,34.99,1749.72,3771.9500000000007,203771.95,0.8748600000000001
2020-09-29,2020-10-22,SHORT,197.48,204.75,-7.27,-363.49,3408.460000000001,203408.46,-0.181745
2020-10-22,2020-12-16,LONG,204.75,209.48,4.73,236.49,3644.9500000000007,203644.95,0.118245
2020-12-16,2020-12-17,SHORT,209.48,209.61,-0.13,-6.69,3638.2600000000007,203638.26,-0.003345
2020-12-17,2021-03-24,LONG,209.61,225.45,15.84,792.04,4430.300000000001,204430.3,0.39602
2021-03-24,2021-04-07,SHORT,225.45,239.28,-13.83,-691.3,3739.000000000001,203739.0,-0.34565
2021-04-07,2021-05-27,LONG,239.28,239.26,-0.01,-0.69,3738.310000000001,203738.31,-0.000345
2021-05-27,2021-06-18,SHORT,239.26,248.97,-9.71,-485.61,3252.7000000000007,203252.7,-0.24280500000000002
2021-06-18,2021-10-07,LONG,248.97,283.51,34.53,1726.71,4979.410000000001,204979.41,0.863355
2021-10-07,2021-10-27,SHORT,283.51,310.74,-27.23,-1361.53,3617.880000000001,203617.88,-0.6807650000000001
2021-10-27,2022-01-06,LONG,310.74,302.36,-8.38,-419.03,3198.8500000000013,203198.85,-0.209515
2022-01-06,2022-04-05,SHORT,302.36,300.09,2.27,113.53,3312.3800000000015,203312.38,0.056765
2022-04-05,2022-04-27,LONG,300.09,273.39,-26.7,-1334.99,1977.3900000000015,201977.39,-0.667495
2022-04-27,2022-07-22,SHORT,273.39,251.91,21.48,1074.05,3051.4400000000014,203051.44,0.537025
2022-07-22,2022-07-26,LONG,251.91,243.72,-8.19,-409.27,2642.1700000000014,202642.17,-0.20463499999999998
2022-07-26,2022-07-28,SHORT,243.72,267.44,-23.71,-1185.71,1456.4600000000014,201456.46,-0.592855
2022-07-28,2022-09-14,LONG,267.44,244.55,-22.89,-1144.33,312.1300000000015,200312.13,-0.572165
2022-09-14,2022-11-30,SHORT,244.55,248.08,-3.53,-176.42,135.7100000000015,200135.71,-0.08821
2022-11-30,2023-01-11,LONG,248.08,229.24,-18.83,-941.69,-805.9799999999985,199194.02,-0.470845
2023-01-11,2023-02-07,SHORT,229.24,260.15,-30.91,-1545.5,-2351.4799999999987,197648.52,-0.77275
2023-02-07,2023-08-15,LONG,260.15,314.42,54.27,2713.33,361.8500000000013,200361.85,1.356665
2023-08-15,2023-10-26,SHORT,314.42,320.99,-6.57,-328.44,33.410000000001276,200033.41,-0.16421999999999998
2023-10-26,2024-04-30,LONG,320.99,382.62,61.63,3081.34,3114.7500000000014,203114.75,1.54067
2024-04-30,2024-05-30,SHORT,382.62,408.25,-25.64,-1281.9,1832.8500000000013,201832.85,-0.64095
2024-05-30,2024-08-05,LONG,408.25,389.04,-19.22,-960.9,871.9500000000013,200871.95,-0.48045
2024-08-05,2024-09-24,SHORT,389.04,423.29,-34.26,-1712.76,-840.8099999999987,199159.19,-0.85638
2024-09-24,2024-10-23,LONG,423.29,418.78,-4.51,-225.37,-1066.1799999999987,198933.82,-0.112685
2024-10-23,2024-12-04,SHORT,418.78,432.29,-13.51,-675.4,-1741.5799999999986,198258.42,-0.3377
2024-12-04,2024-12-31,LONG,432.29,416.56,-15.73,-786.67,-2528.2499999999986,197471.75,-0.39333499999999993
